Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,34.049999,34.750000,33.900002,34.750000,27.085869,766100
2017-01-04,34.000000,34.799999,34.000000,34.200001,26.657171,547900
2017-01-05,34.250000,34.450001,33.500000,34.000000,26.501280,443200
2017-01-06,34.049999,34.349998,33.700001,33.799999,26.345388,336700
2017-01-09,33.650002,34.049999,33.250000,33.299999,25.955664,415100
2017-01-10,33.400002,34.500000,33.299999,34.150002,26.618200,705100
2017-01-11,34.200001,34.500000,34.000000,34.299999,26.735117,209400
2017-01-12,34.200001,34.400002,33.549999,34.000000,26.501280,191300
2017-01-13,34.200001,34.400002,33.900002,34.250000,26.696142,180200
2017-01-17,34.150002,34.299999,33.849998,33.900002,26.423336,181400
2017-01-18,33.849998,33.900002,33.299999,33.799999,26.345388,252300
2017-01-19,33.799999,33.900002,33.549999,33.900002,26.423336,213700
2017-01-20,33.950001,34.400002,33.900002,34.299999,26.735117,320300
2017-01-23,34.349998,34.900002,33.700001,34.099998,26.579229,502200
2017-01-24,34.349998,34.599998,34.150002,34.299999,26.735117,330700
2017-01-25,34.599998,34.599998,34.049999,34.150002,26.618200,303400
2017-01-26,34.250000,34.599998,34.150002,34.250000,26.696142,338600
2017-01-27,34.250000,34.299999,33.900002,34.000000,26.501280,299900
2017-01-30,34.650002,34.650002,33.779999,34.150002,26.618200,391400
2017-01-31,34.000000,34.130001,33.750000,33.750000,26.306416,452800
2017-02-01,33.500000,33.849998,32.700001,33.000000,25.721828,886200
2017-02-02,33.099998,33.400002,32.830002,33.049999,25.760803,437600
2017-02-03,33.150002,33.299999,32.849998,32.900002,25.643885,238500
2017-02-06,32.700001,32.950001,32.599998,32.650002,25.449024,246300
2017-02-07,32.849998,32.900002,32.349998,32.500000,25.332104,280600
2017-02-08,31.049999,31.730000,30.799999,31.049999,24.201906,12420500
2017-02-09,31.000000,31.250000,30.950001,31.000000,24.162931,2684400
2017-02-10,31.150000,31.500000,31.000000,31.350000,24.435745,3131700
2017-02-13,31.400000,31.500000,31.100000,31.350000,24.435745,1420100
2017-02-14,31.450001,31.500000,31.200001,31.400000,24.474712,1196100
2017-02-15,31.299999,31.549999,31.150000,31.500000,24.552652,951200
2017-02-16,31.350000,31.450001,31.100000,31.250000,24.357794,691200
2017-02-17,31.250000,31.330000,31.000000,31.200001,24.318821,1660300
2017-02-21,31.250000,31.250000,30.450001,30.850000,24.046017,1199900
2017-02-22,30.799999,31.400000,30.650000,31.350000,24.435745,1540500
2017-02-23,31.250000,31.450001,31.049999,31.350000,24.435745,1276800
2017-02-24,31.100000,31.450001,30.950001,31.400000,24.474712,1136500
2017-02-27,31.250000,31.500000,31.030001,31.450001,24.513687,1773100
2017-02-28,31.150000,31.500000,30.950001,31.350000,24.435745,3963500
